"Pulp Fiction","Los juegos del hambre: Trilogía","Interestellar","El corredor del laberinto","El lobo de Wall Street","El viaje de Chihiro","Seven"
"4","3","5","2","4","5","5"
"4","2","5","2","5","4","4"
"5","3","5","3","4","4","4"
"3","3","5","2","4","5","4"
"4","3","1","1","3","4","0"
"4","3","0","0","3","4","4"
"5","2","5","2","4","5","5"
"4","3","5","3","4","3","3"
"5","3","4","1","3","4","4"
"4","2","5","4","0","5","0"
"4","4","4","4","4","4","4"
"5","4","5","0","5","5","5"
"5","1","4","0","4","0","4"